Name,Location,Price,Ratings,Reviews,Reviews Score
Reliable Inn,"Ballygunge, Kolkata",1697,Review score,Review score,10
Collection O MG Guest House,Kolkata,3047,Review score,Review score,36
Personal,Kolkata,1039,No Reviews,No Reviews,Not Available
HCN GUEST House,Kolkata,1260,No Reviews,No Reviews,Not Available
Hotel Sawood International,Kolkata,1870,Review score,Review score,3
"BluO Lake View 1BHK New Town - Terrace Garden, Gym","New Town, Kolkata",3656,Exceptional,Exceptional,1
New Rainbow palace,Kolkata,999,Review score,Review score,1
The Kei Suites,Kolkata,1708,Very Good,Very Good,30
Sonar Bangla Guest House,Kolkata,1889,Review score,Review score,7
Handpicked Aashiyana-Emerald,Kolkata,2836,Exceptional,Exceptional,1
FabHotel Prime Swagatam International - Chinar Park,Kolkata,2554,Good,Good,1
Rishika Guest House And Banquet,Kolkata,2185,Review score,Review score,11
Ashray The Living Entity,"Salt Lake, Kolkata",2499,Wonderful,Wonderful,2
"Elegant Xanadu Studio 604 -Pool, Airport, CC2 Mall",Kolkata,2678,Very Good,Very Good,3
Sheldon Hotel,Kolkata,2000,Review score,Review score,18
Hotel O Galaxy Guest House,Kolkata,1004,Review score,Review score,3
Hotel O Ankan Regency Near Acropolis Mall,Kolkata,888,Review score,Review score,14
Aleya Home Stay,Kolkata,1200,Review score,Review score,1
Hotel Emirates,Kolkata,5022,Review score,Review score,35
The Aster Penthouse,"Ballygunge, Kolkata",3000,Review score,Review score,28
Ashreen Group of Hotels,Kolkata,1754,Review score,Review score,68
Sanjiva Suites,"New Town, Kolkata",1350,Good,Good,9
Salt Lake Inn,"Salt Lake, Kolkata",1799,Review score,Review score,1
deb Guest House And Banquet hall,Kolkata,1800,Wonderful,Wonderful,15
Handpicked Aashiyana-Ruby,Kolkata,1886,Wonderful,Wonderful,1
Aliya,Kolkata,1280,No Reviews,No Reviews,Not Available
KOLKATA HCN GUEST House,Kolkata,999,No Reviews,No Reviews,Not Available
Lake Town Guest House,Kolkata,2700,Review score,Review score,4
Studio Room Close to Quest Mall,Kolkata,1663,Review score,Review score,2
Bothra Guest House,Kolkata,1400,Review score,Review score,2
Ruby's Inn,Kolkata,2700,No Reviews,No Reviews,Not Available
Hotel Presidency Inn,Kolkata,4050,Review score,Review score,15
Hotel O Dream World,Kolkata,1004,No Reviews,No Reviews,Not Available
Stay near Chittaranjan Hospital Park Circus 2,Kolkata,1280,No Reviews,No Reviews,Not Available
Subha's Home Stay,Kolkata,2800,No Reviews,No Reviews,Not Available
Mini Studio close to Quest Mall,Kolkata,1134,Review score,Review score,1
Ballygunge Bliss,Kolkata,1900,Very Good,Very Good,1
"Hotel Palace, Kolkata",Kolkata,4003,No Reviews,No Reviews,Not Available
Step Home,Kolkata,2200,Review score,Review score,1
